Brandname,Productname,Colors,Sizes,Description,Materials,Maintenance,RegularPrice,CurrentPrice
Montego,Fliege aus reiner Seide,Rot|Bordeaux Rot|Jeans|Marineblau|Pink|Fuchsia|Schwarz,OS|1,Herren Fliege von MONTEGO|Reine Seide|Feine Webstruktur|Vorgebunden|Verstellbare Kragenweite|Hakenverschluss|Breite: 12 cm|Farbe Bordeaux Rot|Artikelnummer 9619949,Hauptmaterial 1: 100% Seide," Nicht waschen| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",19.95,19.95
Hugo,Ledergürtel mit feiner Struktur,Schwarz|Dunkelbraun,85|90|95|100|105|110,"Herren Gürtel von BOSS|Echtes Leder|Modell C-Gorizy|Feine Gitterstruktur|Dornschließe aus Metall |Gürtelbreite: 3,5 cm |Farbe Schwarz|Artikelnummer 9557822",Hauptmaterial 1: 100% Rindsleder,,69.95,69.95
Happy Socks,Strümpfe mit Muster im 4er-Pack,Schwarz,36/40|41/46,Herren Strümpfe von Happy Socks|Baumwollmischung mit Stretch-Anteil|Unterschiedliche Muster|Komfortbündchen|4er-Pack in Geschenkbox|Farbe Schwarz|Artikelnummer 9535800,"Hauptmaterial 1: 80% Baumwolle, 17% Polyamid, 3% Elasthan", Schonwaschgang 40°| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,29.95,19.95
Tommy Hilfiger,Strümpfe im 2er-Pack,Anthrazit|Marineblau|Mittelbraun|Beige|Jeans,39/42|43/46,Elastischer Bund|Hoher Sitz|Baumwoll-Mix|Logo-Stickerei|Farbe Mittelbraun|Artikelnummer 7926657,"Hauptmaterial 1: 75% Baumwolle, 23% Polyamid, 2% Elasthan", Kein Trockner| Normalwaschgang 40°| Nicht bügeln| Keine chemische Reinigung| Milde Nassreinigung| Nicht bleichen,12.95,12.95
Puma,Sneakersocken mit eingewebtem Logo,Schwarz|Marineblau|Anthrazit,39/42|43/46,Herren Sneakersocken von Puma|Leichtes Material mit Baumwoll-Anteil |Eingewebtes Logo|Elastisches Bündchen|Flache Zehennaht|2er-Pack|Farbe Schwarz|Artikelnummer 9465657,"Hauptmaterial 1: 67% Polyester, 27% Baumwolle, 4% Polyamid, 2% Elasthan", Normalwaschgang 40°| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,4.95,4.95
Hugo,Ledergürtel mit Dornschließe - handgefertigt,Cognac |Marineblau,85|90|95|100|105|110,"Herren Gürtel von HUGO|Echtes Leder|Dornschließe aus Metall|Fixierte Gürtelschlaufe|Handgefertigt|Gürtelbreite: 3,5 cm|Farbe Cognac |Artikelnummer 9557829",Hauptmaterial 1: 100% Leder,,69.95,69.95
Lloyd Men's Belts,Ledergürtel mit Dornschließe,Schwarz|Cognac ,85|90|95|100|105|110,Herren Ledergürtel von Lloyd Belts|Leder|Glattes Material|Dornschließe in Metallicoptik|Logo-Applikation|Farbe Cognac |Artikelnummer 942360,,,29.95,29.95
Montego,Krawatte und Einstecktuch im Set,Bordeaux Rot|Bleu|Mint|Pink|Fuchsia|Ecru,OS|1,Herren Krawatte und Einstecktuch von MONTEGO|Reine Seide|Webmuster|Strukturierte Oberfläche|Krawatte in klassischer Form|Einstecktuch mit verstärkten Abschlüssen|Breite der Krawatte: 7 cm|Maße des Einstecktuchs: 30 x 29 cm|Farbe Pink|Artikelnummer 9619827,Hauptmaterial 1: 100% Seide|Hauptmaterial 2: 100% Seide," Nicht waschen| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",29.95,29.95
Falke,Füßlinge mit Cooling-Effekt,Weiß|Schwarz|Marineblau,39/40|41/42|43/44|45/46,Herrenfüßlinge von Falke|Baumwollmischung mit Stretch-Anteil|Modell Cool 24/7|Ultra Low Cut|Anti-Slip System|Cooling-Effekt|Farbe Schwarz|Artikelnummer 942332,"Hauptmaterial 1: 80% Baumwolle, 18% Polyamid, 2% Elasthan"," Normalwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht bügeln| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",9.0,9.0
Armani Collezioni,Geldbörse aus Leder in Krokodillederoptik,Schwarz,OS|1,"Herren Geldbörse von Armani Collezioni|Echtes Leder |Krokodillederoptik|Münzfach mit Druckknopfverschluss|Vier Kartenfächer, drei Steckfächer|Zwei Scheinfächer|Inklusive Geschenkbox|Höhe: 10 cm|Breite: 12 cm|Tiefe: 2 cm|Farbe Schwarz|Artikelnummer 9570221",Hauptmaterial 1: 100% Leder,,169.95,169.95
Happy Socks,Strümpfe im 4er-Pack mit Geschenkbox,Marineblau,36/40|41/46,Herren Strümpfe von Happy Socks|Baumwollmischung|Wadenlang|Komfortbund|4er-Pack|Geschenkbox|Farbe Marineblau|Artikelnummer 9535799,"Hauptmaterial 1: 80% Baumwolle, 17% Polyamid, 3% Elasthan", Schonwaschgang 40°| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,29.95,19.95
Tommy Hilfiger,Ledergürtel mit Logo-Applikation,Dunkelbraun|Schwarz|Cognac ,85|90|95|100|105|110,Herrengürtel von Tommy Hilfiger|Fein genarbtes Leder|Eckige Dornschließe|Gürtelschlaufe mit Logo-Applikation|Einfache Lochung|Schmal zulaufendes Gürtelende|Gürtelbreite: 4 cm|Farbe Schwarz|Artikelnummer 952243,Hauptmaterial 1: 100% Leder,,39.95,39.95
Montego,Fliege aus reiner Seide,Rot|Bordeaux Rot|Jeans|Marineblau|Pink|Fuchsia|Schwarz,OS|1,Herren Fliege von MONTEGO|Reine Seide|Feine Webstruktur|Vorgebunden|Verstellbare Kragenweite|Hakenverschluss|Breite: 12 cm|Farbe Marineblau|Artikelnummer 9619953,Hauptmaterial 1: 100% Seide," Nicht waschen| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",19.95,19.95
Boss,Chronograph mit Lederarmband,Schwarz,OS|1,"Herren Chronograph von BOSS|Edelstahl|Modell Rafale|Stunden, Minuten, Sekunden|Datum|Stoppfunktion 1/10 Sek.|Tachymeter|24h-Anzeige|Lederarmband mit Dornschließe|Rückgabe nur mit Schutzfolie(n) möglich|Farbe Schwarz|Artikelnummer 9670770",Hauptmaterial 1: 100% Edelstahl|Hauptmaterial 2: 100% Leder,,299.0,299.0
MCNEAL,Gürtel aus echtem Leder im Vintage Look,Schwarz|Schokobraun|Marineblau|Mittelbraun,85|90|95|100|105|110,Herren Gürtel von MCNEAL|Echtes Leder|Vintage Look|Dornschließe aus Metall|Einfache Lochung|Gürtelbreite: 3 cm|Farbe Mittelbraun|Artikelnummer 9576297,Hauptmaterial 1: 100% Leder, Nicht waschen| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,29.95,29.95
Montego,Einstecktuch aus Baumwolle,Weiß|Bleu,OS|1,Herren Einstecktuch von MONTEGO|Reine Baumwolle|Verstärkte Abschlüsse|Unifarben|30 x 30 cm |Farbe Weiß|Artikelnummer 9620052,Hauptmaterial 1: 100% Baumwolle," Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Nicht waschen| Nicht bleichen| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",9.95,9.95
Boss,Uhr aus Edelstahl mit Lederarmband,Silber,OS|1,"Herren Uhr von BOSS|Edelstahl|Modell Time One|Stunden, Minuten, Sekunden|Datum|Lederarmband mit Dornschließe|Rückgabe nur mit Schutzfolie(n) möglich|Farbe Silber|Artikelnummer 9670771",Hauptmaterial 1: 100% Edelstahl|Hauptmaterial 2: 100% Leder,,249.0,249.0
s.Oliver RED LABEL,Socken im 7er-Pack,Schwarz,39/42|43/46,Herren Socken von s.Oliver|Baumwollmischung mit Stretch-Anteil|Geripptes Bündchen|Kleiner Logo-Print|7er-Pack|Farbe Schwarz|Artikelnummer 9682041,"Hauptmaterial 1: 80% Baumwolle, 17% Polyamid, 3% Elasthan", Schonwaschgang 40°| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,19.95,19.95
Puma,Sneakersocken mit eingewebtem Logo,Schwarz|Marineblau|Anthrazit,39/42|43/46,Herren Sneakersocken von Puma|Leichtes Material mit Baumwoll-Anteil |Eingewebtes Logo|Elastisches Bündchen|Flache Zehennaht|2er-Pack|Farbe Marineblau|Artikelnummer 9465658,"Hauptmaterial 1: 67% Polyester, 27% Baumwolle, 4% Polyamid, 2% Elasthan", Normalwaschgang 40°| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,4.95,4.95
Joop!,Krawatte aus schimmernder Seide,Silber|Rot|Schwarz,OS|ONE,Herren Krawatte von JOOP!|Reine Seide|Klassische Form |Schimmernde Textur|Made in Italy|Breite: 7 cm |Farbe Rot|Artikelnummer 9602338,Hauptmaterial 1: 100% Seide," Nicht waschen| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",49.95,49.95
