Brandname,Productname,Colors,Sizes,Description,Materials,Maintenance,RegularPrice,CurrentPrice
SANETTA,Boxershorts mit elastischem Kontrastbund,Blau,140|152|164|176,Teenager Boxershorts von Sanetta|Reine Baumwolle|Jersey|Elastischer Kontrastbund mit Logo-Kürzel|Geknöpfter Eingriff|Oeko-Tex® Standard 100|Made in Europe|Farbe Blau|Artikelnummer 9522996,Hauptmaterial 1: 100% Baumwolle, Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,13.95,7.95
Maximo,Multifunktionstuch aus Fleece,Pink|Lindgrün,OS|2,Kinder Multifunktionstuch von maximo|Fleece|Offene Abschlüsse|Vielseitig verwendbar|Made in Germany|45 x 25 cm |Farbe Lindgrün|Artikelnummer 9539383,Hauptmaterial 1: 100% Polyester, Schonwaschgang 40°| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,9.95,6.95
SANETTA,BH mit Punktemuster,Hellgrau,65/A|65A|70/A|70A|70/B|70B|75/A|75A|65/A|65AA|70/AA|70AA,Teenager BH von Sanetta|Baumwollmischung mit Stretch-Anteil|Wattierte Cups|Verstellbare Träger|Hakenverschluss |Punktemuster|Farbe Hellgrau|Artikelnummer 9522820,"Hauptmaterial 1: 65% Baumwolle, 20% Polyamid, 8% Elasthan, 7% Polyester", Normalwaschgang 40°| Nicht bleichen| Kein Trockner| Mäßig heiß bügeln| Keine chemische Reinigung,19.95,9.95
Ralph Lauren Childrenswear,Schirmmütze mit Logo-Stickerei,Beige,OS|1|OS|ONE,Teenager Schirmmütze von Ralph Lauren Childrenswear|Reine Baumwolle|Modell Classic Sport Cap|Logo-Stickerei|Eingestickte Luftlöcher|Weitenregulierung auf der Rückseite|Farbe Beige|Artikelnummer 9556042,Hauptmaterial 1: 100% Baumwolle, Normalwaschgang 40°| Nur Sauerstoffbleiche zulässig / keine Chlorbleiche| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,29.95,29.95
SANETTA,Trunks mit Comic-Print,Hellblau,140|152|164|176,Teenager Trunks von Sanetta|Baumwoll-Elasthan-Mix|Elastischer Bund mit Logo-Kürzel |Comic-Print|Oeko-Tex® Standard 100|Made in Europe|Farbe Hellblau|Artikelnummer 9522995,"Hauptmaterial 1: 95% Baumwolle, 5% Elasthan", Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,13.95,13.95
Maximo,Schal aus reiner Baumwolle,Marineblau,3,Kinder Schal von maximo|Reine Baumwolle|Modell Toni|Rippenstrick|Verstärkte Abschlüsse|Oeko-Tex® Standard 100|Made in Germany|140 x 17 cm|Farbe Marineblau|Artikelnummer 9539747,Hauptmaterial 1: 100% Baumwolle," Schonwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",12.95,4.95
SANETTA,Panty aus Modal-Elasthan-Mix,Offwhite,140|152|164|176,Teenager Panty von Sanetta|Modal-Elasthan-Mix|Figurnaher Schnitt|Elastischer Bund|Zierborten|Zierschleife|Farbe Offwhite|Artikelnummer 9522859,"Hauptmaterial 1: 93% Modal, 7% Elasthan"," Normalwaschgang 40°| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",14.95,7.95
Maximo,Mütze mit Schirm,Mittelgrau meliert,47|49,Kinder Mütze von MaxiMo|Aus reiner Baumwolle|Mit Schirm|Zwei Bindebänder|Feines Maschenbild|Flauschiges Futter|Farbe Mittelgrau meliert|Artikelnummer 8934500,Hauptmaterial 1: 100% Baumwolle," Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.| Schonwaschgang 30°",19.95,19.95
SANETTA,Bustier mit floralem Muster,Weiß,92|104|116|128|140,Kinder Bustier von Sanetta|Baumwollmischung mit Stretch-Anteil |Schmale Träger |Elastisches Bündchen |Zierschleife am Ausschnitt|Florales Muster|Farbe Weiß|Artikelnummer 9523076,"Hauptmaterial 1: 95% Baumwolle, 5% Elasthan", Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,8.95,8.95
Maximo,Beanie mit Frozen-Print ,Dunkelblau,51/53,Kinder Beanie von maximo|Wärmendes Material|Feinstrick|Frozen-Print|Ziersteinbesatz |Farbe Dunkelblau|Artikelnummer 9539439,Hauptmaterial 1: 100% Polyester|Futter 1: 100% Polyacryl," Handwäsche| Nicht bleichen| Kein Trockner| Nicht bügeln| Eingeschränkte chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt. Begrenzung der Feuchtigkeitszugabe und/oder der mechanischen Beanspruchung und/oder der Temperatur.",24.95,19.95
SANETTA,BH mit Soft-Cups und Streifenmuster,Dunkelblau,140|152|164|176,Teenager-BH von Sanetta|Baumwollmischung mit Strecht-Anteil|Leicht wattierte und verstärkte Soft-Cups|Zierschleife|Zierborte in Kontrastfarbe |Verstellbare Träger in Kontrastfarbe|Verstellbarer Hakenverschluss|Streifenmuster|Größe: 70 A|Farbe Dunkelblau|Artikelnummer 9432210,"Hauptmaterial 1: 95% Baumwolle, 5% Elasthan", Normalwaschgang 40°| Nicht bleichen| Kein Trockner| Mäßig heiß bügeln| Keine chemische Reinigung,19.95,19.95
Maximo,Strumpfhose mit Stretch-Anteil,Rosa meliert|Rot|Pink,68,Baby Strumpfhose von MaxiMo|Baumwoll-Mix mit Elasthan-Anteil|Körpernahe Passform|Feines Maschenbild|Oberer Teil feingerippt|Elastischer Bund|Farbe Rot|Artikelnummer 8914060,"Hauptmaterial 1: 80% Baumwolle, 18% Polyamid, 2% Elasthan", Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung| Schonwaschgang 40°,9.95,4.95
SANETTA,Unterhemd aus Baumwoll-Elasthan-Mix ,Blau,140|152|164|176,Teenager Unterhemd von Sanetta|Baumwoll-Elasthan-Mix|V-Ausschnitt|Oeko-Tex® Standard 100|Made in Europe|Rückenlänge bei Größe 152: 57 cm |Farbe Blau|Artikelnummer 9523000,"Hauptmaterial 1: 95% Baumwolle, 5% Elasthan", Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,9.95,9.95
Maximo,Loop-Schal mit Twist,Marineblau,OS|1SZ,Kinder Loop-Schal von maximo|Weiches Material|Grober Rippenstrick|Twist|50 x 32 cm|Farbe Marineblau|Artikelnummer 9539745,Hauptmaterial 1: 100% Polyacryl," Schonwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht bügeln| Eingeschränkte chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt. Begrenzung der Feuchtigkeitszugabe und/oder der mechanischen Beanspruchung und/oder der Temperatur.",17.95,12.95
SANETTA,Unterhemd mit hohem Stretch-Anteil,Schwarz,116|128|140|152|176,Teenagerunterhemd von Sanetta|Baumwoll-Micromodal-Elasthan-Mix|Figurbetonte Passform|Spaghettiträger|Rückenlänge bei Größe 116: 37 cm|Farbe Schwarz|Artikelnummer 9432243,"Hauptmaterial 1: 46% Baumwolle, 46% Micromodal, 8% Elasthan", Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,10.95,10.95
