Brandname,Productname,Colors,Sizes,Description,Materials,Maintenance,RegularPrice,CurrentPrice
adidas Originals,Sneaker 'Superstar Metal Toe' mit Logo-Streifen,Weiß,36 2/3|4|38|5|39 1/3|6|40 2/3|7|42|8|36|3/|37 1/3|4/|38 2/3|5/|40|6/|41 1/3|7/,"Damen Sneaker von adidas Originals|Modell Superstar Metal Toe|Echtes Leder|Abgerundete Spitze|Vorderkappe in Metallicoptik|Schnürverschluss|Logo-Details|Gummisohle|Sohlenhöhe: 2,5 cm|Farbe Weiß|Artikelnummer 9584746",Hauptmaterial 1: 100% Leder|Hauptmaterial 2: 100% Synthetik|Futter 1: 100% Synthetik|Futter 2: 100% Textil|Sohle: 100% Synthetik,,119.95,89.95
Nike,Sneaker Juvenate mit Meshbesatz,Rosa|Olivgrün,"36|5,5|37,5|6,5|38|7|39|8|39,5|8,5|41|9,5",Damen Sneaker von NIKE|Modell Juvenate|Leichtes Material|Gummisohle|Abgerundete Spitze|Schnürverschluss|Meshbesatz|Logo-Prints|Sohlenhöhe: 3 cm|Farbe Rosa|Artikelnummer 9657037,,,94.95,94.95
adidas Originals,Sneaker aus Leder mit Vorderkappe in Metallicoptik,Schwarz,36 2/3|4|38|5|39 1/3|6|40 2/3|7|42|8|36|3/|37 1/3|4/|38 2/3|5/|40|6/|41 1/3|7/,Damen Sneaker von adidas Originals|Modell Superstar 80s|Echtes Leder mit Details aus Gummi|Schnürverschluss|Logo-Streifen mit perforierten Details|Gummierte Vorderkappe in Metallicoptik|Gummierte Profilsohle|Sohlenhöhe: 3 cm|Farbe Schwarz|Artikelnummer 9584726,Hauptmaterial 1: 100% Leder|Hauptmaterial 2: 100% Gummi|Sohle: 100% Gummi,,139.95,99.95
Reebok,Sneaker 'Classic' aus Veloursleder,Weiß,"36|6|37|6,5|38|7,5|39|8,5|40|9|41|10",Damen Sneaker von Reebok|Modell Classic|Echtes Veloursleder|Kontrasteinsätze aus Textil|Abgerundete Spitze|Schnürverschluss|Logo-Applikationen|Gummisohle|Sohlenhöhe: 2 cm|Farbe Weiß|Artikelnummer 9624430,Hauptmaterial 1: 100% Veloursleder|Hauptmaterial 2: 100% Textil|Sohle: 100% Gummi,,74.95,74.95
adidas Originals,Sneaker 'Superstar' in Metallicoptik,Silber,36 2/3|4|38|5|39 1/3|6|40 2/3|7|42|8|36|3/|37 1/3|4/|38 2/3|5/|40|6/|41 1/3|7/,"Damen Sneaker von adidas Originals|Modell Superstar|Lederoptik|Metallicoptik|Logo-Streifen|Zehenkappe aus Gummi|Schnürverschluss|Gummisohle|Sohlenhöhe: 2,5 cm|Farbe Silber|Artikelnummer 9584750",Hauptmaterial 1: 100% Synthetik|Futter 1: 100% Synthetik|Futter 2: 100% Textil|Sohle: 100% Gummi,,99.95,99.95
PETER KAISER,Lederschuhe mit Details aus Lackleder,Schwarz,"36|3,5|37|4|37,5|4,5|38|5|39|5,5|39,5|6|40|6,5|41|7|41,5|7,5|42|8","Damen Lederschuhe von Peter Kaiser|Modell Emilie|Echtes, strukturiertes Leder|Details aus Lackleder|Schnürverschluss|Profilsohle aus Gummi|Made in Germany|Absatzhöhe: 3 cm|Farbe Schwarz|Artikelnummer 9641268",Hauptmaterial 1: 100% Leder,,169.95,169.95
adidas Originals,Sneaker aus Leder mit Vorderkappe in Metallicoptik,Weiß,36 2/3|4|38|5|39 1/3|6|40 2/3|7|42|8|36|3/|37 1/3|4/|38 2/3|5/|40|6/|41 1/3|7/,"Damen Sneaker von adidas Originals|Modell Superstar 80S 3D|Echtes Leder |Vorderkappe in Metallicopik|Perforierte und strukturierte Logo-Streifen|Schnürverschluss |Gummisohle|Sohlenhöhe: 2,5 cm|Farbe Weiß|Artikelnummer 9584725",Hauptmaterial 1: 100% Leder|Hauptmaterial 2: 100% Gummi|Sohle: 100% Gummi,,139.95,99.95
MICHAEL Michael Kors,Sneaker aus Leder mit floralen Applikationen,Schwarz|Weiß,"36|6|37|7|38|7,5|38,5|8|39|8,5|40|9|40,5|9,5|41|10","Damen Sneaker von MICHAEL Michael Kors|Modell Lola|Echtes Leder|Abgerundete Spitze |Schnürverschluss|Florale Applikationen mit Logo-Prägung|Logo-Applikation an der Ferse|Profilsohle aus Gummi|Sohlenhöhe: 2,5 cm|Farbe Schwarz|Artikelnummer 9582379",Hauptmaterial 1: 100% Leder|Sohle: 100% Gummi,,165.95,165.95
adidas Originals,Sneaker 'Courtvantage' aus Leder in Metallicoptik,Silber,"36 2/3|4|37 1/3|4,5|38|5|38 2/3|5,5|39 1/3|6|40|6,5|40 2/3|7|41 1/3|7,5|42|8","Damen Sneaker von adidas Originals|Modell Courtvantage|Echtes Leder in Metallicoptik|Schnürverschluss|Logo-Prägung an der Zunge|Perforierte Details|Gummisohle|Sohlenhöhe: 2,5 cm|Farbe Silber|Artikelnummer 9642817",Hauptmaterial 1: 100% Leder|Futter 1: 100% Textil|Sohle: 100% Gummi,,69.95,69.95
Converse,Sneaker mit Logo-Applikationen,Schwarz,"36|5,5|36,5|6|37|6,5|37,5|7|38|7,5|39|8|40|8,5|40,5|9|41|9,5","Damen Sneaker von Converse|Strukturiertes Material|Modell All Star|Abgerundete Spitze|Zehenkappe aus Gummi|Schnürverschluss|Logo-Applikationen|Profilsohle aus Gummi|Sohlenhöhe: 2,5 cm|Farbe Schwarz|Artikelnummer 9594313",Hauptmaterial 1: 100% Textil|Sohle: 100% Gummi,,64.95,64.95
adidas Originals,Sneaker 'Stan Smith' in Metallicoptik,Kupfer,36 2/3|4|38|5|39 1/3|6|40 2/3|7|42|8|36|3/|37 1/3|4/|38 2/3|5/|40|6/|41 1/3|7/,Damen Sneaker von adidas Originals|Modell Stan Smith|Metallicoptik|Perforierte Logo-Streifen|Logo-Prints|Schnürverschluss|Gummisohle|Sohlenhöhe: 2 cm|Farbe Kupfer|Artikelnummer 9584752,Hauptmaterial 1: 100% Synthetik|Futter 1: 100% Synthetik|Sohle: 100% Gummi,,94.95,94.95
Buffalo,Pumps in Metallicoptik,Rosé,36|37|38|39|40|41,Damen Pumps von Buffalo|Metallicoptik|Abgerundete Spitze|Pfennigabsatz|Gummisohle|Absatzhöhe: 7 cm|Farbe Rosé|Artikelnummer 9624751,Hauptmaterial 1: 100% Synthetik|Futter 1: 100% Synthetik|Sohle: 100% Gummi,,59.95,59.95
adidas Originals,Sneaker 'ZX Flux Adv Virtue Sock' in Melangeoptik,Beige,"36 2/3|4|37 1/3|4,5|38|5|38 2/3|5,5|39 1/3|6|40|6,5|40 2/3|7|41 1/3|7,5","Damen Sneaker von adidas Originals|Modell ZX Flux Adv Virtue Sock|Textil|Gummisohle|Abgerundete Spitze|Einstieg mit elastischem Bündchen|Schnürverschluss|Kontrastbesatz|Melangeoptik|Sohlenhöhe: 3,5 cm|Farbe Beige|Artikelnummer 9642823",Hauptmaterial 1: 100% Textil|Hauptmaterial 2: 100% Leder|Futter 1: 100% Textil|Futter 2: 100% Synthetik|Sohle: 100% Gummi,,119.95,119.95
Pedro Miralles,Slingpumps aus Veloursleder mit Shoe Flaps,Dunkelblau,36|37|38|39|40|41|42,"Damen Slingpumps von Pedro Miralles|Echtes Veloursleder|Vorne Spitz zulaufend|Shoe Flaps mit Zierschleife und Zierquasten|Riemenverschluss|Pfennigabsatz|Gummisohle|Made in Spain|Absatzhöhe: 6,5 cm|Farbe Dunkelblau|Artikelnummer 9636293",Hauptmaterial 1: 100% Veloursleder|Sohle: 100% Gummi,,139.95,139.95
