Brandname,Productname,Colors,Sizes,Description,Materials,Maintenance,RegularPrice,CurrentPrice
G.O.L.,Anzug mit 2-Knopf-Sakko ,Dunkelgrau|Royalblau,134|140|146|152|158|164|170|176,"Teenager Anzug von G.O.L.|Materialmischung mit Viskose-Anteil|2-Knopf-Sakko mit fallendem Revers|Brustleistentasche, paspelierte Pattentaschen und Innentaschen|Zierknöpfe an den Ärmelabschlüssen|Hose mit regulierbarem Bund und Bügelfalten|Französische Eingrifftaschen und geknöpfte Leistentaschen|Rückenlänge bei Größe 152: 61 cm|Schulterbreite bei Größe 152: 36 cm |Ärmellänge bei Größe 152: 54 cm |Innenbeinlänge bei Größe 152: 70 cm|Bundweite bei Größe 152: 68 cm|Farbe Dunkelgrau|Artikelnummer 9587439","Hauptmaterial 1: 65% Polyester, 35% Viskose"," Normalwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",139.95,139.95
Review for Teens,Stone Washed Regular Fit Jeans,Jeans,140|146|152|158|164|170|176,Teenager 5-Pocket-Jeans von REVIEW for Teens|Baumwoll-Elasthan-Mix|Stone Washed|Regular Fit|Knopf- und Reißverschluss|Knopfriegel am Bund|Label-Patch|Innenbeinlänge bei Größe 152: 71 cm|Bundweite bei Größe 152: 64 cm|Farbe Jeans|Artikelnummer 9560837,"Hauptmaterial 1: 99% Baumwolle, 1% Elasthan"," Normalwaschgang 40°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",29.95,19.95
Review for Kids,T-Shirt mit Stern aus Wende-Pailletten,Offwhite|Marineblau,104|116|128|140,"Kinder T-Shirt von REVIEW for Kids|Reine Baumwolle|Rundhalsausschnitt|Streifenmuster|Stern aus Wende-Pailletten|Rückenlänge bei Größe 116: 44,5 cm|Farbe Offwhite|Artikelnummer 9654153",Hauptmaterial 1: 100% Baumwolle," Normalwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Keine chemische Reinigung",15.95,15.95
Review for Teens,Coloured Slim Fit 5-Pocket-Jeans,Dunkelblau|Schwarz|Hellbraun,140|146|152|158|164|170|176,Teenager 5-Pocket-Jeans von REVIEW for Teens|Baumwoll-Elasthan-Mix|Coloured Denim|Slim Fit |Skinny Leg|Bund mit Gürtelschlaufen|Regulierbare Bundweite|Knopf- und Reißverschluss|Label-Patch|Innenbeinlänge bei Größe 152: 70 cm|Bundweite bei Größe 152: 66 cm|Farbe Schwarz|Artikelnummer 9560826,"Hauptmaterial 1: 98% Baumwolle, 2% Elasthan"," Normalwaschgang 40°| Nicht bleichen| Kein Trockner| Mäßig heiß bügeln| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",29.95,19.95
SANETTA,Boxershorts mit elastischem Kontrastbund,Blau,140|152|164|176,Teenager Boxershorts von Sanetta|Reine Baumwolle|Jersey|Elastischer Kontrastbund mit Logo-Kürzel|Geknöpfter Eingriff|Oeko-Tex® Standard 100|Made in Europe|Farbe Blau|Artikelnummer 9522996,Hauptmaterial 1: 100% Baumwolle, Normalwaschgang 60°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,13.95,7.95
Review for Kids,T-Shirt mit Hai-Motiv,Jeans meliert|Rot meliert,104|116|128|140,Kinder T-Shirt von REVIEW for Kids|Baumwollmischung|Meliert|Rundhalsausschnitt|Hai-Motiv aus Wende-Pailletten|Rückenlänge bei Größe 116: 43 cm|Farbe Jeans meliert|Artikelnummer 9671243,"Hauptmaterial 1: 50% Baumwolle, 50% Polyester"," Schonwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Keine chemische Reinigung",15.95,15.95
Eisend,Kleid mit Oberteil aus Häkelspitze,Ecru,116|122|128|134|140|146|152,Kinder Kleid von Eisend Kids|Oberteil aus Häkelspitze|Rundhalsausschnitt|Knopfleiste auf der Rückseite|Kappärmel|Ausgestellter Rockteil aus Mesh mit Glitter-Effekt|Unterkleid aus Satin mit Besatz aus Tüll|Rückenlänge bei Größe 128: 70 cm|Farbe Ecru|Artikelnummer 9568428,Hauptmaterial 1: 100% Polyester|Futter 1: 100% Polyester," Schonwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",49.95,49.95
Review for Teens,Stone Washed Slim Fit 5-Pocket-Jeans,Jeans,140|146|152|158|164|170|176,Teenager 5-Pocket-Jeans von REVIEW for Teens|Baumwoll-Elasthan-Mix|Stone Washed|Slim Fit|Skinny Leg|Bund mit Gürtelschlaufen|Regulierbare Bundweite|Knopf- und Reißverschluss|Label-Patch|Innenbeinlänge bei Größe 152: 71 cm|Bundweite bei Größe 152: 64 cm|Farbe Jeans|Artikelnummer 9560835,"Hauptmaterial 1: 99% Baumwolle, 1% Elasthan"," Normalwaschgang 40°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",29.95,19.95
Review for Kids,T-Shirt mit Minions™-Motiv aus Wende-Pailletten,Dunkelblau|Mittelgrau meliert,104|116|128|140,"Kinder T-Shirt von REVIEW for Kids|Baumwollmischung|Gerippter Rundhalsausschnitt|Minions™-Motiv aus Wende-Pailletten|Message-Print|Rückenlänge bei Größe 116: 44,5 cm|Farbe Mittelgrau meliert|Artikelnummer 9671246","Hauptmaterial 1: 50% Polyester, 50% Baumwolle"," Schonwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Keine chemische Reinigung",17.95,17.95
Review for Teens,Cardigan mit Schalkragen,Koralle|Mittelgrau,140|152|164|176,Teenager Cardigan von REVIEW for Teens|Baumwollmischung|Wechselndes Maschenbild|Schalkragen|Offene Vorderseite|Eingearbeitetes Ethno-Muster|Rückenlänge bei Größe 152: 58 cm|Ärmellänge bei Größe 152: 59 cm|Farbe Mittelgrau|Artikelnummer 9590414,"Hauptmaterial 1: 50% Baumwolle, 50% Polyester"," Schonwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Eingeschränkte chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt. Begrenzung der Feuchtigkeitszugabe und/oder der mechanischen Beanspruchung und/oder der Temperatur.",29.95,14.95
Review for Kids,One Washed Regular Fit 5-Pocket-Jeans,Jeans,92|98|104|110|116|122|128|134|140,Kinder 5-Pocket-Jeans von REVIEW for Kids|Baumwoll-Elasthan-Mix|One Washed|Regular Fit|Straight Leg|Regulierbare Bundweite|Knopf- und Reißverschluss|Label-Patch|Innenbeinlänge bei Größe 36: 51 cm|Bundweite bei Größe 36: 55 cm|Farbe Jeans|Artikelnummer 9588336,"Hauptmaterial 1: 99% Baumwolle, 1% Elasthan"," Normalwaschgang 40°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",25.95,25.95
Review for Teens,Cardigan mit Schalkragen,Koralle|Mittelgrau,140|152|164|176,Teenager Cardigan von REVIEW for Teens|Baumwollmischung|Wechselndes Maschenbild|Schalkragen|Offene Vorderseite|Eingearbeitetes Ethno-Muster|Rückenlänge bei Größe 152: 58 cm|Ärmellänge bei Größe 152: 59 cm|Farbe Koralle|Artikelnummer 9590413,"Hauptmaterial 1: 50% Baumwolle, 50% Polyester"," Schonwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Eingeschränkte chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt. Begrenzung der Feuchtigkeitszugabe und/oder der mechanischen Beanspruchung und/oder der Temperatur.",29.95,14.95
Tom Tailor,Trenchcoat mit Taillengürtel,Beige,140|152|164|176,"Teenager Trenchcoat von TOM TAILOR|Strapazierfähiges Material mit Baumwoll-Anteil|Umlegekragen|Schulter- und Rückenkoller|2-reihige Knopfleiste|Verstellbarer Taillengürtel|Zwei Leistentaschen|Verstellbare Riegel an den Ärmelabschlüssen|Rückenschlitz|Leichtes Futter|Rückenlänge bei Größe 152: 62,5 cm|Schulterbreite bei Größe 152: 38,5 cm|Ärmellänge bei Größe 152: 57,5 cm|Farbe Beige|Artikelnummer 9588087","Hauptmaterial 1: 55% Polyester, 33% Baumwolle, 12% Polyamid|Futter 1: 100% Baumwolle|Ärmelfutter: 100% Polyester"," Normalwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Keine chemische Reinigung",69.95,54.95
Review for Teens,Bermudas im 5-Pocket-Design,Stein|Rauchblau|Dunkelblau|Rot|Mittelgrau,140|146|152|158|164|170|176,Teenager Bermudas von REVIEW for Teens|Baumwoll-Elasthan-Mix|Regulierbare Bundweite|Knopf- und Reißverschluss|5-Pocket-Design|Label-Patch|Bundweite bei Größe 152: 70 cm|Farbe Dunkelblau|Artikelnummer 9633766,"Hauptmaterial 1: 98% Baumwolle, 2% Elasthan"," Normalwaschgang 40°| Nicht bleichen| Kein Trockner| Mäßig heiß bügeln| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",25.95,25.95
Review for Kids,Slim Fit 5-Pocket-Hose mit Stretch-Anteil,Beige|Blau|Mittelgrau|Hellblau,92|98|104|110|116|122|128|134|140,Kinder 5-Pocket-Hose von REVIEW for Kids|Baumwoll-Elasthan-Mix|Slim Fit|Skinny Leg|Regulierbare Bundweite|Knopf- und Reißverschluss|Label-Patch|Innenbeinlänge bei Größe 116: 50 cm|Bundweite bei Größe 116: 54 cm|Farbe Blau|Artikelnummer 9588331,"Hauptmaterial 1: 98% Baumwolle, 2% Elasthan"," Normalwaschgang 40°| Nicht bleichen| Kein Trockner| Mäßig heiß bügeln| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",25.95,14.95
Review for Teens,Jacke mit abnehmbarer Kapuze ,Dunkelblau,140|152|164|176,Teenager Jacke von REVIEW for Teens|Strapazierfähiges Material |Abnehmbare Kapuze mit Druckknopfriegel|Reißverschluss und Druckknopfblende|Verdeckte Reißverschlusstaschen auf Brusthöhe|Pattentaschen mit Druckknopfverschluss |Tunnelzug auf Taillenhöhe|Storm Cuffs|Logo-Aufnäher am Ärmel |Rückenlänge bei Größe 152: 64 cm |Schulterbreite bei Größe 152: 37 cm |Ärmellänge bei Größe 152: 61 cm |Farbe Dunkelblau|Artikelnummer 9590382,Hauptmaterial 1: 100% Polyester," Schonwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht bügeln| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",69.95,49.95
Eisend,Kleid mit Schmetterling-Stickereien,Apricot,116|122|128|134|140|146|152,"Kinder Kleid von Eisend Kids|Leicht schimmerndes Material|Rundhalsausschnitt|Ärmellos|Taillenpasse |Unterlegter, ausgestellter Rockteil aus Mesh|Schmetterling-Stickereien mit Effektgarn und Pailletten|Verdeckter Reißverschluss auf der Rückseite|Rückenlänge bei Größe 116: 76 cm |Farbe Apricot|Artikelnummer 9568433",Hauptmaterial 1: 100% Polyester," Schonwaschgang 30°| Nicht bleichen| Kein Trockner| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",64.95,64.95
Review for Teens,Rinsed Washed Regular Fit 5-Pocket-Jeans,Jeans,140|146|152|158|164|170|176,Teenager 5-Pocket-Jeans von REVIEW for Teens|Baumwoll-Elasthan-Mix|Rinsed Washed|Regular Fit|Skinny Leg|Bund mit Gürtelschlaufen|Regulierbare Bundweite|Knopf- und Reißverschluss|Label-Patch|Innenbeinlänge bei Größe 152: 73 cm|Bundweite bei Größe 152: 68 cm|Farbe Jeans|Artikelnummer 9560836,"Hauptmaterial 1: 99% Baumwolle, 1% Elasthan"," Normalwaschgang 40°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",25.95,19.95
Review for Kids,Coloured Slim Fit Jeans mit Stretch-Anteil,Blau|Dunkelblau|Schwarz,92|98|104|110|116|122|128|134|140,Kinder 5-Pocket-Jeans von REVIEW for Kids|Baumwoll-Elasthan-Mix|Coloured Denim|Slim Fit|Skinny Leg|Regulierbarer Bund|Knopf- und Reißverschluss|Label-Patch |Innenbeinlänge bei Größe 116: 50 cm |Bundweite bei Größe 116: 50 cm |Farbe Schwarz|Artikelnummer 9560948,"Hauptmaterial 1: 98% Baumwolle, 2% Elasthan"," Normalwaschgang 40°| Nicht bleichen| Kein Trockner| Mäßig heiß bügeln| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",25.95,14.95
Review for Teens,T-Shirt mit feinem Streifenmuster,Anthrazit|Rot|Jeans|Aqua Blau,140|152|164|176,Teenager T-Shirt von REVIEW for Teens|Reine Baumwolle|Feines Streifenmuster|Abgerundeter V-Ausschnitt|Gerollte Abschlüsse|Rückenlänge bei Größe 152: 57 cm|Farbe Anthrazit|Artikelnummer 9633815,Hauptmaterial 1: 100% Baumwolle, Normalwaschgang 40°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Mäßig heiß bügeln| Keine chemische Reinigung,12.95,12.95
Review for Kids,Slim Fit 5-Pocket-Hose mit Stretch-Anteil,Beige|Blau|Mittelgrau|Hellblau,92|98|104|110|116|122|128|134|140,Kinder 5-Pocket-Hose von REVIEW for Kids|Baumwoll-Elasthan-Mix|Slim Fit|Skinny Leg|Regulierbare Bundweite|Knopf- und Reißverschluss|Label-Patch|Innenbeinlänge bei Größe 116: 50 cm|Bundweite bei Größe 116: 54 cm|Farbe Mittelgrau|Artikelnummer 9588332,"Hauptmaterial 1: 98% Baumwolle, 2% Elasthan"," Normalwaschgang 40°| Nicht bleichen| Kein Trockner| Mäßig heiß bügeln| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",25.95,14.95
Review for Teens,Rinsed Washed Slim Fit Jeans,Jeans,140|146|152|158|164|170|176,Teenager 5-Pocket-Jeans von REVIEW for Teens|Baumwoll-Elasthan-Mix|Rinsed Washed|Slim Fit|Knopf- und Reißverschluss|Regulierbare Knopfriegel am Bund|Label-Patch|Ziernähte|Innenbeinlänge bei Größe 152: 71 cm|Bundweite bei Größe 152: 62 cm|Farbe Jeans|Artikelnummer 9557290,"Hauptmaterial 1: 99% Baumwolle, 1% Elasthan"," Normalwaschgang 40°| Nicht bleichen| Trocknen mit reduzierter thermischer Beanspruchung| Nicht heiß bügeln, Vorsicht beim Bügeln mit Dampf| Chemische Reinigung: Perchlorethylen, Kohlenwasserstoffe erlaubt.",25.95,25.95
