Brandname,Productname,Colors,Sizes,Description,Materials,Maintenance,RegularPrice,CurrentPrice
New Balance,Sneaker mit Klettverschluss,Mittelgrau,"21|5|22,5|6|23,5|7|25|8|26|9|27,5|10","Kinder Sneaker von New Balance|Veloursleder und Textil|Klettverschluss|Logo-Details|Gummisohle|Sohlenhöhe: 1,5 cm|Farbe Mittelgrau|Artikelnummer 9514283",Hauptmaterial 1: 100% Textil|Hauptmaterial 2: 100% Veloursleder|Futter 1: 100% Textil|Sohle: 100% Gummi,,54.95,39.95
UGG,Boots aus echtem Veloursleder,Schwarz,"22,5|6|23,5|7|25|8|26|9|27|10|28|11|29|12",Kinder Boots von Ugg Australia|Echtes Veloursleder|Überknöchelhoher Schaft|Zierschleife|Logo-Aufnäher|Futter aus Fake Fur|Gummisohle in Kontrastfarbe|Sohlenhöhe: 2 cm|Farbe Schwarz|Artikelnummer 9550419,Hauptmaterial 1: 100% Leder|Futter 1: 100% Textil|Sohle: 100% Gummi,,189.95,119.95
New Balance,Sneaker '574' aus Veloursleder mit Textileinsatz,Türkis,"21|5|22,5|6|23,5|7|25|8|26|9|27,5|10",Kinder Sneaker von New Balance|Modell 574|Veloursleder mit Textil|Kontrasteinsätze aus Mesh|Abgerundete Spitze|Klettverschluss|Logo-Applikationen|Gummisohle|Mehrfarbiges Design mit Details in Neonfarbe|Sohlenhöhe: 1 cm|Farbe Türkis|Artikelnummer 9582386,Hauptmaterial 1: 100% Veloursleder|Hauptmaterial 2: 100% Textil|Sohle: 100% Gummi,,59.95,59.95
UGG,Boots aus Veloursleder mit Futter aus Wolle,Mittelgrau|Mittelbraun,"31|1|32|2|33|3|20,5|4|30|13","Kinder Boots von Ugg Australia|Echtes Veloursleder|Futter aus Wolle|Ziernähte |Sohle aus Gummi|Logo-Aufnäher an der Ferse|Sohlenhöhe: 2,5 cm|Farbe Mittelgrau|Artikelnummer 9550426",Hauptmaterial 1: 100% Veloursleder|Futter 1: 100% Wolle|Sohle: 100% Gummi,,149.95,89.95
New Balance,Sneaker '420' aus Veloursleder,Dunkelgrau,"33|1,5|34,5|2,5|35|3|28|10,5|29|11,5|30|12|31|13|32|13,5",Kinder Sneaker von New Balance|Modell 420|Echtes Veloursleder mit Mesheinsätzen|Abgerundete Spitze|Zwei Klettverschlüsse|Logo-Applikationen|Gummisohle|Sohlenhöhe: 1 cm|Farbe Dunkelgrau|Artikelnummer 9582388,Hauptmaterial 1: 100% Veloursleder|Hauptmaterial 2: 100% Textil|Futter 1: 100% Textil|Sohle: 100% Gummi,,59.95,59.95
GIESSWEIN,Hausschuhe aus Schurwolle,Lila,26|27|28|29|30|31|32,Kinder Hausschuhe von GIESSWEIN|Modell Tengen|Reine Schurwolle |Abgerundete Spitze |Profilsohle |Elastischer Einsatz|Florale Stickerei und Eulen-Applikation|Sohlenhöhe: 1 cm|Farbe Lila|Artikelnummer 9629600,Hauptmaterial 1: 100% Schurwolle,,ab 44.95 ,34.95
SOREL,Boots mit herausnehmbarem Futter - wasserabweisend,Royalblau|Schwarz,"25|8|26|9|27|10|28|11|29|12|30|12,5|31|13","Kinder Boots von SOREL|Modell Children's Flurry|Wasserabweisendes Material|Überknöchelhoher Schaft|Gummizug und Klettverschluss|Profilsohle aus Gummi|Kontraststreifen und Logo-Stickerei|Herausnehmbares Futter aus Filz|Sohlenhöhe: 4,5 cm|Schafthöhe: 16 cm|Schaftweite: 35 cm|Farbe Schwarz|Artikelnummer 9495276",Hauptmaterial 1: 100% Textil|Hauptmaterial 2: 100% Synthetik|Futter 1: 100% Textil|Sohle: 100% Gummi, Nicht waschen| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,54.95,39.95
Aigle,"Gummistiefel aus mattem Gummi
",Rosa,24|25|26|27|28|29|30|31|32|33|34|35|36|37|38,Kinder Gummistiefel von Aigle|Mattes Gummi|Modell Lolly Pop|Zierstreifen|Logo|Textilfutter|Wadenhoher Schaft|Reflektor an der Ferse|Gummisohle|Sohlenhöhe: 2 cm|Schafthöhe: 22 cm|Schaftbreite: 30 cm|Farbe Rosa|Artikelnummer 9483407,Hauptmaterial 1: 100% Gummi|Futter 1: 100% Textil|Sohle: 100% Gummi,,32.95,32.95
Toms,Slip-On Sneaker aus Canvas ,Blau,"32,5|1|33|1,5|34|2|34,5|2,5|35|3|35,5|3,5|36|4|36,5|4,5|37,5|5|38|5,5|22|6|30|12|30,5|12,5|31|13|31,5|13,5","Kinder Slip-On Sneaker von Toms|Canvas|Elastischer Einstieg|Ziernaht|Innensohle aus Leder|Gummisohle|Label-Aufnäher an der Ferse|Angabe in US Größe|Sohlenhöhe: 1,5 cm |Farbe Blau|Artikelnummer 9446978",Hauptmaterial 1: 100% Textil|Futter 1: 100% Leder|Sohle: 100% Gummi,,34.95,21.95
NATIVE,Slip-On Sneaker mit eingestanztem Lochmuster,Mittelgrau|Rot,23|7|24|8|25|9|27|10|28|11|29|12|30|13,"Kinder Slip-On Sneaker von Native|Modell Jefferson|Wasserfestes Material|Abgerundete Spitze|Eingestanztes Lochmuster|Gummisohle|Waschbar|Gummierte Logo-Applikation|Sohlenhöhe: 1,5 cm|Farbe Rot|Artikelnummer 9477123",Hauptmaterial 1: 100% Synthetik|Sohle: 100% Synthetik, Nicht waschen| Nicht bleichen| Kein Trockner| Nicht bügeln| Keine chemische Reinigung,54.95,27.95
Birkenstock,Pantolette mit Star Wars-Print,Schwarz,27|28|29|30|31|32|33|34,"Kinder Pantolette von Birkenstock|Modell Kylo Ren|Birko-Flor|Einen verstellbaren Riemen|Innensohle aus echtem Leder|Ergonomisches Fußbett aus Naturkork|Profilsohle|Star Wars-Print|Made in Germany|Sohlenhöhe: 2,5 cm|Farbe Schwarz|Artikelnummer 9489022",Hauptmaterial 1: 100% Birko-Flor|Futter 1: 100% Leder|Futter 2: 100% Kork|Sohle: 100% Ethylenvinylacetat,,59.95,29.95
