Brandname,Productname,Colors,Sizes,Description,Materials,Maintenance,RegularPrice,CurrentPrice
Tommy Hilfiger,Sneaker aus Canvas ,Dunkelblau meliert|Hellgrau meliert|Jeans,40|41|42|43|44|45|46,Herren Sneaker von Tommy Hilfiger|Canvas|Abgerundete Spitze|Schnürverschluss|Logo-Stickerei|Fersenbereich in Kontrastfarbe|Logo-Applikation an der Zunge|Gummisohle |Sohlenhöhe: 2 cm|Farbe Hellgrau meliert|Artikelnummer 9585599,Hauptmaterial 1: 100% Textil|Futter 1: 100% Textil|Sohle: 100% Gummi,,65.95,65.95
Nike,Sneaker 'Internationalist' mit Logo-Details ,Schwarz|Marineblau|Olivgrün|Weiß|Rot|Rot,"40,5|7,5|41|8|42|8,5|42,5|9|43|9,5|44|10|44,5|10,5|45|11|45,5|11,5|46|12",Herren Sneaker von NIKE|Modell Internationalist|Textil|Abgerundete Spitze|Kontrasteinsätze aus Veloursleder|Schnürverschluss|Logo-Details|Profilsohle aus Gummi|Sohlenhöhe: 1 cm|Farbe Olivgrün|Artikelnummer 9659418,,,89.95,89.95
Lloyd,Derby aus Leder mit Perforierung,Dunkelbraun,"41|7,5|42|8|42,5|8,5|43|9|44|9,5|44,5|10|45|10,5|46|11",Herren Derby von LLOYD|Modell Orleans|Echtes Leder|Feine Perforierung|Schnürverschluss|Derbybogen|Ledersohle|Made in Germany|Sohlenhöhe: 2 cm|Farbe Dunkelbraun|Artikelnummer 9624774,Hauptmaterial 1: 100% Leder|Sohle: 100% Leder,,139.95,139.95
Tommy Hilfiger,Lederschuhe mit Logo-Applikation,Mittelbraun,41|42|43|44|45,Herren Lederschuhe von Tommy Hilfiger|Echtes Veloursleder|Abgerundete Spitze|Schnürverschluss|Logo-Applikation an der Ferse|Gummisohle|Sohlenhöhe: 2 cm|Farbe Mittelbraun|Artikelnummer 9585596,Hauptmaterial 1: 100% Veloursleder|Sohle: 100% Gummi,,129.95,129.95
adidas Originals,Sneaker aus echtem Veloursleder,Mittelgrau,42|8|43|9|44 2/3|10|46|11|42 2/3|8/|44|9/|45 1/3|10/,"Herren Sneaker von adidas Originals|Modell Gazelle|Echtes Veloursleder|Modellname in Metallicoptik|Logo-Streifen|Kontrastbesatz mit Logo an der Ferse|Schnürverschluss|Gummisohle|Sohlenhöhe: 2,5 cm|Farbe Mittelgrau|Artikelnummer 9567299",Hauptmaterial 1: 100% Leder|Futter 1: 100% Textil|Sohle: 100% Gummi,,99.95,99.95
Boss,Oxfords aus Leder,Mittelbraun,"41,5|7,5|42|8|42,5|8,5|43|9|43,5|9,5|44|10|44,5|10,5","Herren Oxfords von BOSS|Modell Carmons|Echtes Leder|Schmal zulaufende Spitze|Schnürverschluss|Eingeprägtes Logo an der Seite|Sohle aus Leder und hochwertigem Gummi|Sohlenhöhe: 0,5 cm|Absatzhöhe: 2,5 cm|Herstellergröße: UK|Farbe Mittelbraun|Artikelnummer 9951448",Hauptmaterial 1: 100% Leder|Absatz: 100% Gummi|Innenseite: 100% Leder|Sohle: 100% Leder,,279.0,279.0
adidas Originals,Sneaker aus flexiblem Primeknit,Schwarz,42|8|43|9|44 2/3|10|46|11|47 1/3|12|41 1/3|7/|42 2/3|8/|44|9/|45 1/3|10/|46 2/3|11/,"Herren Sneaker von Adidas Originals|Modell ZX Flux PK|Atmungsaktives, flexibles Primeknit Obermaterial|Logo-Streifen|Kontrastbesatz an der Ferse|Schnürverschluss|Profilsohle aus Gummi|Sohlenhöhe: 3 cm|Farbe Schwarz|Artikelnummer 9528699","Hauptmaterial 1: 90% Textil, 10% Leder|Futter 1: 100% Textil|Sohle: 100% Gummi",,129.95,129.95
Clarks,Schnürschuhe aus echtem Leder,Schwarz,"41|7|41,5|7,5|42|8|42,5|8,5|43|9|44|9,5|44,5|10|45|10,5|46|11",Herren Schnürschuhe von Clarks|Modell Trigen|Echtes Leder|Knöchelhoher Schaft|Kontrasteinsatz an der Ferse|Schnürverschluss|Gummisohle|Sohlenhöhe: 2 cm|Farbe Schwarz|Artikelnummer 9513696,Hauptmaterial 1: 100% Leder|Futter 1: 100% Leder|Sohle: 100% Gummi,,139.95,139.95
Nike,Sneaker 'Internationalist' mit Logo-Details ,Schwarz|Marineblau|Olivgrün|Weiß|Rot|Rot,"40,5|7,5|41|8|42|8,5|42,5|9|43|9,5|44|10|44,5|10,5|45|11|45,5|11,5|46|12",Herren Sneaker von NIKE|Modell Internationalist|Textil|Abgerundete Spitze|Kontrasteinsätze aus Veloursleder|Schnürverschluss|Logo-Details|Profilsohle aus Gummi|Sohlenhöhe: 1 cm|Farbe Weiß|Artikelnummer 9659419,,,89.95,89.95
Toms,Sneaker in Melangeoptik,Mittelgrau,"39|8,5|40|9|41|9,5|43|10|43,5|10,5|44|11|44,5|11,5|45|12|46|13","Herren Sneaker von TOMS|Modell Del Ray|Textil|Abgerundete Spitze|Schnürverschluss|Sohle aus Gummi|Teilungsnähte|Label-Patch an der Ferse|Sohlenhöhe: 3,5 cm|Farbe Mittelgrau|Artikelnummer 9595513",,,74.95,74.95
